Application date,Selected course,Gender,Country of Birth,Language(s),Laptop,Previous Experience,Educational background,Work permit,Age
18/7/2023,1,1,Egypt,0,1,1,2,2,-1
19/3/2021,1,1,Morocco,0,0,1,1,0,38
30/8/2021,1,1,Morocco,0,1,2,2,1,28
5/10/2023,2,1,Morocco,0,0,2,2,0,25
1/5/2023,0,1,Morocco,1,1,2,0,2,33
29/6/2022,0,1,Syria,1,1,2,3,2,26
29/3/2022,0,1,Afghanistan,0,0,0,2,1,27
4/1/2022,0,1,Syria,0,1,2,1,2,24
7/11/2023,2,1,Pakistan,0,1,2,2,0,19
28/10/2023,1,1,Afghanistan,0,1,1,2,2,37
19/3/2021,1,1,Syria,1,2,0,2,2,35
27/11/2022,1,1,Bangladesh,1,1,0,2,2,32
13/7/2023,1,1,Syria,0,1,2,1,0,23
19/3/2021,1,1,Pakistan,3,2,0,0,3,4
21/4/2022,0,0,United States,1,1,1,1,2,32
14/12/2023,0,1,Bangladesh,0,1,0,1,0,22
17/6/2022,1,1,Morocco,0,1,2,0,1,31
6/4/2023,0,1,Colombia,0,0,1,1,1,36
24/3/2022,0,1,Brazil,0,1,0,1,0,36
13/2/2023,0,1,Morocco,1,0,2,2,2,35
18/4/2023,0,1,Pakistan,0,1,1,0,2,42
3/6/2021,1,1,Venezuela,1,0,1,1,2,24
19/3/2021,1,1,Venezuela,0,1,2,2,2,31
19/3/2021,1,1,Venezuela,1,1,1,1,2,26
19/3/2021,1,0,Mexico,1,1,1,2,1,34
5/10/2023,0,0,Argentina,1,1,0,3,2,34
13/11/2023,0,0,Argentina,0,1,1,2,2,30
9/11/2023,3,0,Argentina,0,1,1,2,2,27
19/3/2021,1,1,Morocco,0,0,1,1,2,-1
19/3/2021,1,1,Pakistan,0,1,0,1,2,30
20/10/2023,3,0,Greece,0,1,0,2,2,35
27/9/2021,0,1,Yemen,0,1,1,2,2,30
16/11/2023,0,1,India,0,1,1,2,1,24
27/5/2021,0,1,Cameroon,0,1,1,1,2,30
15/1/2024,2,0,Panama,1,3,3,0,3,22
3/4/2024,2,0,Spain,1,3,3,2,3,34
19/3/2021,1,1,Argentina,3,2,1,1,3,39
18/8/2021,1,1,Argentina,1,1,1,1,2,58
19/3/2021,1,1,Chile,0,1,1,2,0,39
31/5/2023,3,0,Venezuela,0,1,2,1,2,31
8/3/2022,0,0,Nicaragua,0,1,2,1,0,27
2/6/2023,3,0,Argentina,0,1,1,2,2,41
19/3/2021,1,1,Venezuela,1,1,1,1,2,32
9/5/2023,3,2,Spain,1,1,0,2,2,31
23/4/2024,2,1,Spain,1,3,3,3,3,20
19/6/2023,1,1,Argentina,0,1,0,3,2,38
18/10/2023,0,1,Colombia,0,1,0,3,0,31
19/3/2021,1,1,Venezuela,3,1,2,0,3,28
19/3/2021,1,1,Russian Federation,0,1,1,2,2,29
19/3/2021,1,1,Russian Federation,0,1,1,2,2,44
19/3/2021,1,1,Venezuela,3,2,0,2,3,35
19/3/2021,1,1,Ecuador,0,1,0,1,2,25
19/3/2021,1,1,Venezuela,0,1,1,2,2,33
25/2/2023,1,1,Argentina,1,1,2,1,1,23
1/9/2021,0,1,Venezuela,1,1,0,2,2,37
8/6/2022,1,1,Venezuela,0,1,1,2,1,47
19/3/2021,1,1,Venezuela,0,1,0,2,2,37
19/3/2021,1,1,Venezuela,3,0,2,0,3,41
19/3/2021,1,1,Bolivia,3,0,1,1,3,30
19/3/2021,1,1,Panama,1,0,2,2,1,35
23/3/2022,1,1,Venezuela,1,0,2,1,2,34
19/3/2021,1,1,Yemen,3,2,0,2,3,29
13/9/2023,0,1,Pakistan,0,1,2,2,1,27
19/3/2021,1,1,Pakistan,3,2,0,2,3,33
4/1/2024,2,0,Venezuela,0,3,3,0,3,63
13/2/2024,2,0,Russian Federation,1,3,3,2,3,35
19/3/2021,1,1,Venezuela,0,1,0,2,2,31
27/6/2021,0,0,Brazil,0,1,1,1,2,32
19/3/2021,1,1,Peru,1,2,0,1,2,30
19/4/2024,2,0,Ukraine,0,3,3,3,3,46
19/3/2021,1,1,Brazil,3,2,1,2,3,42
19/3/2021,1,1,Venezuela,0,1,0,2,1,75
19/3/2021,1,1,Bolivia,0,1,1,1,2,31
4/10/2023,1,1,Peru,0,1,0,3,2,37
19/3/2021,1,1,Gambia,3,0,2,1,3,24
1/9/2021,0,1,Senegal,0,1,0,1,2,26
22/4/2024,1,0,Jordan,0,0,0,2,2,37
23/5/2024,2,1,Spain,1,3,3,3,3,44
30/5/2022,1,0,Brazil,1,1,1,2,1,35
