Codi_Dimensio,Desc_Dimensio,Codi_Valor,Desc_Valor_CA,Desc_Valor_ES,Desc_Valor_EN
13,NACIONALITAT_PAIS,1,Afganistan,Afganistán,Afghanistan
13,NACIONALITAT_PAIS,2,Aland,Islas Aland,Åland
13,NACIONALITAT_PAIS,3,Albània,Albania,Albania
13,NACIONALITAT_PAIS,4,Alemanya,Alemania,Germany
13,NACIONALITAT_PAIS,5,Algèria,Argelia,Algeria
13,NACIONALITAT_PAIS,6,Andorra,Andorra,Andorra
13,NACIONALITAT_PAIS,7,Angola,Angola,Angola
13,NACIONALITAT_PAIS,8,Anguilla,Anguilla,Anguilla
13,NACIONALITAT_PAIS,9,Antigua i Barbuda,Antigua y barbuda,Antigua and Barbuda
13,NACIONALITAT_PAIS,10,Aràbia Saudí,Arabia Saudí,Saudi Arabia
13,NACIONALITAT_PAIS,11,Argentina,Argentina,Argentina
13,NACIONALITAT_PAIS,12,Armènia,Armenia,Armenia
13,NACIONALITAT_PAIS,13,Aruba,Aruba,Aruba
13,NACIONALITAT_PAIS,14,Austràlia,Australia,Australia
13,NACIONALITAT_PAIS,15,Àustria,Austria,Austria
13,NACIONALITAT_PAIS,16,Azerbaidjan,Azerbaiyán,Azerbaijan
13,NACIONALITAT_PAIS,17,"Bahames, les",Bahamas,Bahamas
13,NACIONALITAT_PAIS,18,Bahrain,Bahréin,Bahrain
13,NACIONALITAT_PAIS,19,Bangladesh,Bangladesh,Bangladesh
13,NACIONALITAT_PAIS,20,Barbados,Barbados,Barbados
13,NACIONALITAT_PAIS,21,Belarús,Belarús,Belarus
13,NACIONALITAT_PAIS,22,Bèlgica,Bélgica,Belgium
13,NACIONALITAT_PAIS,23,Belize,Belice,Belize
13,NACIONALITAT_PAIS,24,Benín,Benin,Benin
13,NACIONALITAT_PAIS,25,Bermudes,Bermudas,Bermuda
13,NACIONALITAT_PAIS,26,Bhutan,Bhután,Bhutan
13,NACIONALITAT_PAIS,27,Bolívia,Bolivia,Bolivia
